"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CACNG2",3.61416266044344,9.81526207684514,119.015198967523,0,0,2173.40811756828
"ELAVL3",2.32862589209672,11.1878594129489,99.604886501696,0,0,1848.76631942473
"HTR5A",3.57369062166679,9.91824476160498,79.5304422635476,0,0,1467.65151111482
"SCN1A",2.94365658994593,10.577850907649,74.8166400401789,0,0,1370.89090093637
"DSCAM",2.82267482762427,10.5303732624863,72.0844013838785,0,0,1313.57156990008
"GABRG2",3.30704662200056,10.4318158349648,71.1806432822663,0,0,1294.42438519447
"GAL3ST3",2.42159393500083,10.546741302176,68.5162935481235,0,0,1237.3549417681
"GABRA1",3.1929198804174,10.4885880285362,64.9602393417819,0,0,1159.93200713459
"SYNE2",-0.303751987510176,12.1539885661198,-62.5247640427428,0,0,1105.00284459429
"NRG3",2.57775270366163,10.5439809728329,60.7871959661505,0,0,1067.29738177691
"MYT1L",2.55401245540117,10.857812976043,56.9365730572949,0,0,980.318123906877
"COL6A2",-0.411434098362483,12.0819592838393,-51.5231314580692,0,0,855.033293733397
"CREBBP",-0.167600372206871,12.211516649187,-50.8724943181166,0,0,839.983213017105
"GFAP",1.23373302358954,12.0999060301427,48.6943793339889,0,0,789.973776512454
"SHANK2",1.84563610878218,11.0944225345229,47.0140841135397,0,0,751.640640935748
"TBR1",2.47838190700949,9.64457752011171,46.484028709185,0,0,739.495091062754
"SLC5A8",1.93757680549718,9.07308199303401,46.424602474585,0,0,738.20946802526
"GRIN2B",2.1629651353556,10.935752437135,45.9148502944248,1.21540148876947e-321,1.96489907351064e-320,726.103395793418
"MAP1A",0.567204015730173,12.1767292924922,45.7682919531405,3.65015699147513e-320,5.59050100238746e-319,721.608785554605
"SLC6A7",2.51297613960929,10.4746163964437,45.5864937025942,2.48920153687737e-318,3.62178823615657e-317,718.488039342822
"CELF4",1.70147898360962,11.3516685815724,44.8410179356937,8.2047112897039e-311,1.1369385644304e-309,701.116805194422
"CACNA1G",1.71816735267728,11.0387151083864,44.6027203177929,2.07234457672527e-308,2.74114669012297e-307,695.646346693047
"CACNA1E",1.37605560045844,11.4270103599916,43.8708394250598,4.91429904179493e-301,6.21765661374923e-300,678.505401024975
"PPFIA3",0.704299510710122,11.7783794474337,43.6210792823442,1.60981546806922e-298,1.95190125503393e-297,672.214360774398
"NEBL",0.719854758319445,11.926659091586,43.5347156236463,1.19216458104775e-297,1.38767957233958e-296,670.077937855773
"SCN8A",1.02880638952078,11.5684589023528,43.4573119807277,7.17115005330674e-297,8.02617179043178e-296,668.715313946363
"SCN2A",1.76384828440578,11.3146366941663,42.6606720522184,7.41212965624067e-289,7.98862862950383e-288,650.587365578603
"GRIA2",1.59744623611829,11.4718974727529,41.8845770876033,4.63034526276784e-281,4.81225168380515e-280,632.563225721298
"TCTE1",1.35564375369012,10.8127903805531,41.006626445775,2.92779906592197e-272,2.93789492476997e-271,612.466368029476
"GABRB3",1.53921814010473,11.3374283180925,39.7671495815812,7.09931668314722e-260,6.66419727353497e-259,583.832006491634
"BBS1",0.15805043566532,11.9942075996309,39.7744577103756,6.00280436157801e-260,5.82272023073067e-259,582.939192918998
"DLG4",0.436797507681573,12.1300304453584,39.4930331409641,3.82534031149867e-257,3.4786688457691e-256,576.49725444835
"STXBP1",0.51152532348557,12.1229811382844,37.9823213831596,3.78535398838252e-242,3.33799397157368e-241,542.004135533127
"MCF2L2",0.636935852818405,11.7213050810236,37.9131416968515,1.82887446985434e-241,1.56530138449298e-240,540.87962627049
"UNC79",1.24135923591025,11.3903208947771,37.7188453286878,1.52101171859284e-239,1.26461260031576e-238,536.937913031914
"GABRB2",1.74213995729387,11.184806289395,36.2654431713497,2.9935813399943e-225,2.41981158316206e-224,504.194715470028
"NRXN1",1.15917660129026,11.58536690833,35.8660883270221,2.40335520504871e-221,1.89020639099777e-220,494.904971621689
"SLC6A1",1.18812364954278,11.6979934936808,35.8551034969663,3.07658360982679e-221,2.35601534331473e-220,494.58276025375
"UNC13D",-0.391984124678302,11.9386018576767,-34.9981170252166,6.74401823349811e-213,5.03207514345628e-212,474.677035107899
"RORB",1.49850859284768,11.0840627295137,34.83783183819,2.41498389650901e-211,1.75690078471031e-210,472.186493420946
"TRIOBP",-0.271988722855355,12.0296076476078,-34.5179775870848,3.00598446179886e-208,2.13351580093529e-207,463.915397475068
"KCNQ3",1.27019422007525,11.4037483497511,34.0094216308401,2.40997799417207e-203,1.66977046739065e-202,453.61992622485
"LGI1",1.44020898650002,11.3452720898376,33.8968630950503,2.91403673151426e-202,1.97205741597826e-201,451.198695792738
"HECW2",0.408110189990926,11.7222700230305,33.600124309989,2.05586998816386e-199,1.35967765126291e-198,443.959560068081
"ASXL3",1.36876021294934,10.8298195164855,33.4941789286417,2.12874249443876e-198,1.3765868130704e-197,442.454042725778
"LRRC4C",1.45437518597043,11.0945164455046,33.0039643372566,1.02773119678872e-193,6.50151691881561e-193,431.608380700417
"LRRFIP2",-0.115666418653834,12.1684877136455,-32.0296080530002,1.79002795230638e-184,1.10829390238544e-183,409.191328598102
"MKX",1.16018699077665,10.699954411054,31.54664878884,6.27026680770533e-180,3.80134925217135e-179,399.993644749401
"PPARG",-0.302429123872945,11.5220274321101,-31.3164468369346,9.0054336728114e-178,5.34812489548596e-177,394.28323282588
"CYP4F11",1.23998346622656,10.9111050049161,31.1504394715846,3.20997080469908e-176,1.86820300833487e-175,391.394556601639
"ATXN7",-0.208562665740481,11.9784106610473,-30.6403246931563,1.80231111285467e-171,1.02837751733472e-170,379.27601978269
"STOX1",1.02192691692949,11.3491429691024,30.2591465621053,6.09065675933047e-168,3.40842522493301e-167,372.105890099857
"POLR3C",-0.175446799496607,11.8093920222631,-30.0940757483892,2.02931035897379e-166,1.11420625370071e-165,367.747132131091
"TSPAN11",1.03856070424125,11.260938021496,29.3450050026676,1.49203937906918e-159,8.04043443165057e-159,352.86721553124
"CADM4",0.403360674832515,12.0401503505971,28.8090260267965,1.10019460417507e-154,5.82102963299899e-154,340.71572889109
"DPYSL2",0.29549561285769,12.2789399142389,28.3150837090856,3.10559794070798e-150,1.61380178704647e-149,330.413612175757
"INPPL1",-0.269381145782353,12.2069828845855,-28.0674633177467,5.1305564896632e-148,2.61928410261753e-147,325.305987529559
"KIAA1919",-0.206920744452743,11.4240942336336,-28.0026738239431,1.94546200773282e-147,9.76085248707327e-147,324.612200485692
"SLC7A9",0.777501818671574,10.6961423506001,27.3806204872496,6.52591989884648e-142,3.16507115094054e-141,312.534091154037
"ANK2",0.56917870731123,12.0887548221352,27.4039326718983,4.06096232204364e-142,2.00294921307576e-141,311.83520984374
"GTPBP2",-0.210109545993348,12.0526665863983,-27.0245893329081,8.91980846915181e-139,4.25518731889046e-138,304.039946353217
"SRPR",-0.232460021184628,12.1800432100243,-26.9345044185839,5.50281599106849e-138,2.58277331193698e-137,302.227343778431
"EIF3G",-0.245413549636996,12.2146137444063,-26.6330702112164,2.37273453296826e-135,1.09597737951391e-134,296.169124686486
"IQGAP2",-0.667691986372999,11.3928842217811,-26.5218572134125,2.20569391543217e-134,1.00290145217306e-133,294.640081091024
"BCL11A",1.19444994259868,11.1303677600807,26.4129194614845,1.95004558573091e-133,8.73020408381071e-133,292.87826423886
"KCNT2",0.991136174255219,11.0281911934954,26.2395019831235,6.20407745048485e-132,2.73543414862286e-131,289.45190548472
"CDK5RAP2",-0.236189805239574,12.1327447461019,-26.2352621621567,6.75073536228623e-132,2.93203580660492e-131,288.218086619186
"EIF4A3",-0.209765634798874,12.0326522460504,-26.1938568677274,1.53936354195154e-131,6.58757045158675e-131,287.393202644384
"ALDH7A1",0.44428462327802,11.934336165175,26.0299144411178,3.99873015553357e-130,1.68642097863807e-129,284.3236067287
"STK39",0.267317427899478,11.9475367787481,26.0251024063413,4.39919676799524e-130,1.82880894212374e-129,284.117456680491
"GNAI1",0.44802623629392,11.8330560351324,25.6371821550982,9.37014337562944e-127,3.84043904550446e-126,276.691453637723
"LETM2",0.359325710249211,11.442680010754,25.3245821215353,4.31087872817855e-124,1.74231348597216e-123,270.949159646028
"PTK7",0.357816076016744,11.5083825880583,25.1448101153747,1.4386406518589e-122,5.73485520124576e-122,267.379219212745
"SHANK3",0.422378367855596,12.0863461110528,24.6441889586664,2.33804190247638e-118,9.19419180568414e-118,257.126870490836
"MED12",-0.188020336419188,12.0724096092673,-24.240984201944,5.32060806141827e-115,2.06439592783029e-114,249.351621690626
"GLDC",0.568981783997388,11.4788477890708,23.8336884362893,1.21635173905138e-111,4.65734679031514e-111,242.342958433104
"KDM6B",-0.238631628355605,12.078623092546,-23.8023756924355,2.19758739076549e-111,8.30516793133453e-111,241.03797296774
"TFIP11",-0.18780348023625,12.0085792809593,-23.6791362714024,2.24431265327531e-110,8.37301259106559e-110,238.718942593666
"ZNF282",-0.167213861462526,11.9624885947637,-23.6716356520919,2.5846578626096e-110,9.52070174708093e-110,238.585128937754
"DEAF1",0.230689680954182,12.0987813746561,23.5887142149334,1.22900108403478e-109,4.47049144317651e-109,237.026258388654
"PHF12",-0.203888530866885,12.1003675407637,-23.3296794390101,1.5698467689985e-107,5.63981987380944e-107,232.175106374907
"ANKRD13B",0.312917710151642,11.8940561810025,23.2911948195685,3.21821509414077e-107,1.14207389316459e-106,231.6083674227
"ARID3C",1.21864519572913,9.41108105936101,23.1989848384207,1.79203754840679e-106,6.28292682634189e-106,231.231817278791
"DDIAS",-0.503120819387636,10.865807469854,-23.1286501113782,6.62185158303527e-106,2.29399858412293e-105,229.599928653729
"MAP3K1",-0.205221341320839,11.8353526234261,-23.0537660294554,2.65577926057523e-105,9.09213840973403e-105,227.137827579626
"KCNB1",0.466784735811207,11.8107930369847,22.9469551756038,1.91666971050579e-104,6.48547541578122e-104,225.403813608591
"ZNF30",0.31388084694233,11.5211491212846,22.6817810345263,2.52986414620194e-102,8.46195938557199e-102,220.796691614474
"SH2D3C",-0.217883638771351,11.9293259865686,-22.6274839345755,6.84617375311005e-102,2.26390518426707e-101,219.23665860711
"THSD7A",0.673986356115427,11.3565556316783,22.5009208124596,6.93045879481767e-101,2.26602641493477e-100,217.756671513565
"HK3",-0.685918348286641,11.4153800174618,-21.887482749695,4.60965560712337e-96,1.49045531296989e-95,206.508440109987
"SYNGAP1",0.228668275944944,12.0153227544442,21.8828313606767,5.01093009408386e-96,1.60239632678945e-95,205.752775528857
"MEFV",-0.859188976764783,10.8881400814845,-21.4607841027432,9.30314608171216e-93,2.94262555410678e-92,199.367213045648
"EEF1A2",0.530467325740872,12.1115482992964,21.3260657687969,1.00785750698426e-91,3.15361865088623e-91,195.893573032573
"MYO10",0.270339166475878,12.0246062827402,21.165665559644,1.69793452977095e-90,5.25637178897176e-90,193.047499783361
"VEZF1",-0.176421290405184,12.0715620779185,-20.9998611112084,3.10038908618148e-89,9.49698130609275e-89,190.112634926686
"RNF168",-0.132441914037739,11.8972216083862,-20.8810885298072,2.46079238083695e-88,7.45927690441201e-88,188.077676478338
"PLEKHG5",0.315138518255343,11.8998649605777,20.039341857483,4.66890765785241e-82,1.40067229735572e-81,173.768549144976
"SRRM2",-0.202274554919069,12.5240604977049,-19.9572142039656,1.87243877809405e-81,5.55999677985071e-81,172.265756936
"ARFGEF1",-0.153125513921337,12.0550025771418,-19.7805392318616,3.666564572528e-80,1.07774776828853e-79,169.26140278121
"TRIP12",-0.186309393287181,12.2527940534568,-19.7551775879424,5.61121162104533e-80,1.63286258172419e-79,168.84932280169
"DNAJC13",-0.141945282257292,12.0458639865281,-18.7533517106249,8.24121636637448e-73,2.37444946793562e-72,152.370772948624
"CNN3",0.286014699245455,12.0814154871386,18.6213557040278,6.92726317686067e-72,1.97630743575143e-71,150.269674218756
"DGKD",-0.199275836272199,12.1478443625768,-18.2282275891419,3.68417959515424e-69,1.04087015746591e-68,143.990597481254
"LDB1",-0.146567624406745,12.0789559147444,-18.0924418480536,3.14780195786395e-68,8.80779201671549e-68,141.846550646794
"SEC61A2",0.156942941052979,11.9250420782635,17.9771533197017,1.92770170982822e-67,5.34248759580965e-67,140.090171481375
"SIN3A",-0.138081952964576,12.066495849202,-17.7630179445332,5.4582077828532e-66,1.49843251397196e-65,136.704142593161
"EIF4G1",-0.184049554580803,12.3403593518963,-17.7004121422953,1.44258821130819e-65,3.92330064944564e-65,135.756520627508
"MED13L",-0.156500345737574,12.1729723834814,-17.6493554968926,3.18092108208309e-65,8.570815137835e-65,134.951579136921
"DNAH3",0.880017589216309,9.76940709506882,17.4563650851023,6.22242423571681e-64,1.63128419152576e-63,133.456614646771
"CMTR2",-0.124540340638155,11.757227922861,-17.5073537020644,2.84310728903228e-64,7.59031395512287e-64,132.922209474728
"MYH3",-0.167172304810884,11.7128749039573,-17.4951885668534,3.42782861374021e-64,9.06816478725818e-64,132.800819968909
"PTEN",-0.172193555195026,12.2221144620408,-17.4022413907456,1.42636720262111e-63,3.70600764252448e-63,131.163389244312
"POC1A",-0.190869684167874,11.27133082337,-17.2388283818348,1.72543726435384e-62,4.44338268961917e-62,129.496812805737
"LY75.CD302",-0.799749280805321,8.10214313973059,-16.9824909609723,8.31237852989272e-61,2.12184399315682e-60,126.345147458513
"TLK2",-0.126889893637531,12.0205684536275,-16.8803360192638,3.8463043209345e-60,9.73282223819077e-60,123.277445302219
"CTSA",-0.163197392536163,12.1848994758965,-16.8277024124969,8.44592730559516e-60,2.11876279821396e-59,122.499085325283
"HDLBP",-0.169204625917438,12.3758611960489,-16.7258010603204,3.85212050787732e-59,9.58091510933589e-59,121.004969923159
"STIL",0.17658264571169,11.2140428429077,16.097207471808,3.82844279277283e-55,9.36199035879744e-55,112.712148980415
"NUP155",-0.0983966408039868,11.8274279555715,-16.1183196440982,2.82286308446426e-55,6.96146743711102e-55,112.191559000326
"EIF3A",-0.161911706745164,12.2806263063199,-16.0873709552385,4.41196396443024e-55,1.06990126137433e-54,111.679309908898
"CSNK2B",-0.145572722609645,12.1982117153629,-16.0369973244061,9.11341892602432e-55,2.19173959295296e-54,110.948086219906
"BAIAP3",0.302330471752928,11.8491263884783,15.8074851074174,2.42847992317078e-53,5.79252178395654e-53,107.842500174502
"ITGA6",-0.166902182378047,12.0282545818091,-15.2807565792301,3.94358677480689e-50,9.32994919893337e-50,100.305250670264
"SETD2",-0.13200470955669,12.1513645808155,-15.2286856728854,8.10190454464652e-50,1.90133405039688e-49,99.5897505017662
"KCNJ14",0.24079951567756,11.3618962232792,15.1101548840059,4.14199422792219e-49,9.64256256260285e-49,98.7264520988969
"TCF4",0.164973913759018,12.1063916730754,15.1017876153431,4.64584765619976e-49,1.07296957774137e-48,97.8512985054873
"PPFIBP2",-0.117136296469642,11.8994657718382,-15.0824243790217,6.05834481075583e-49,1.38817192120468e-48,97.6130244439193
"TFB2M",-0.138969378633841,11.6232048045255,-14.9806547114028,2.43412637188022e-48,5.49093623424142e-48,96.5536547702334
"DHTKD1",-0.119785543420008,11.977770516235,-14.9879163376467,2.20472806934327e-48,5.01231147014759e-48,96.3001746748866
"ITGB6",-0.765063853629662,10.1652058864647,-14.7628778600863,4.65335579190809e-47,1.03368437820248e-46,94.6976816341465
"GBF1",-0.133483145987378,12.1859915499392,-14.7804178385942,3.67383085199114e-47,8.22372906099555e-47,93.4995366203776
"ADCY10",0.390715917093682,10.5920996207054,14.6793322501837,1.43000661086127e-46,3.10546211761664e-46,93.4971694160703
"TNPO1",-0.130688463134173,12.1448640409955,-14.7508029713006,5.4748657909681e-47,1.20695904937251e-46,93.0991223345496
"CACNA2D3",0.232545069600206,11.7173593542734,14.6942005789894,1.17146743052746e-46,2.56313550589092e-46,92.6345126569522
"RAI1",0.0902350448809253,12.0233250295314,14.6271412313251,2.87599472062941e-46,6.19936639780116e-46,91.4499657418291
"GLI1",-0.373550135704927,11.2605061100613,-14.5537517330922,7.65610965486555e-46,1.6381822864455e-45,91.3028648356118
"FXR1",-0.15453582774698,12.2193401358068,-14.413254786216,4.93399953374211e-45,1.04802471848099e-44,88.6232041075702
"RAD51C",0.115266943881033,11.730038739654,14.304124512211,2.07643383969282e-44,4.34706652770224e-44,87.4174089347538
"KAT5",-0.113912458141786,12.0549940012645,-14.3121020756825,1.86993025685584e-44,3.94311380250036e-44,87.2869503291413
"M1AP",0.476457756594284,10.7204559393843,14.1785737235554,1.07287048625658e-43,2.21422206738059e-43,86.8441384529119
"ATP9B",-0.0980017179588714,11.9370985364866,-14.2449359067271,4.51022291355302e-44,9.3748204845995e-44,86.4243836482246
"PTPRG",0.268243152679027,11.8531137130184,14.1343171618521,1.90867359873941e-43,3.91143674107865e-43,85.1489953213775
"TEK",0.243040076808919,11.6670102178668,14.0009700260052,1.07315660470278e-42,2.18383616761195e-42,83.6466111465975
"GIGYF1",-0.128222984756457,12.2052086612754,-13.9271169515558,2.77643079675356e-42,5.61070390177282e-42,82.3169586916421
"PASK",0.155846616152072,11.7712593228514,13.8162249255051,1.14806184980674e-41,2.28826026228604e-41,81.0904695103982
"LMF2",-0.123488744080043,12.1064955525551,-13.8181926097567,1.11959745315096e-41,2.24691626804779e-41,80.9222745445667
"NR3C2",0.16326643948712,11.8094013657645,13.7515474203229,2.61602861551622e-41,5.17866889194027e-41,80.2368953311243
